R0000100,T0897400,T0897500,T2053900,T2054000,T3024800,T3024900,T3955100,T3955200,T4892800,T4892900
3102,6,1,6,1,6,1,6,1,6,1
3103,5,9,5,8,5,8,5,8,5,8
3104,5,11,5,11,5,11,5,10,5,11
3105,5,6,5,6,5,6,5,6,-5,-5
3106,5,11,5,10,5,11,5,11,5,11
3107,5,6,5,7,5,8,5,7,5,8
3108,5,2,5,1,5,2,5,1,-5,-5
3109,5,4,5,4,5,5,5,4,5,4
3110,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3111,5,3,5,3,5,3,5,3,5,2
3112,5,8,5,8,5,8,5,8,5,8
3113,5,5,5,4,5,5,5,4,5,5
3114,5,9,5,9,5,9,5,9,6,0
3115,5,6,5,6,5,6,5,6,5,6
3116,6,1,6,1,6,1,6,1,6,1
3117,5,7,-5,-5,-5,-5,-5,-5,-5,-5
3118,5,5,5,5,5,5,5,5,5,5
3119,5,5,5,4,5,6,-5,-5,-5,-5
3120,5,5,5,5,5,5,5,5,5,5
3121,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3122,5,3,5,3,5,3,5,2,5,2
3123,5,10,5,11,5,11,5,11,-5,-5
3124,5,7,5,8,5,7,5,7,5,7
3125,5,9,5,9,5,9,5,9,5,9
3126,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3127,6,0,6,0,5,11,6,0,6,0
3128,5,10,5,9,5,9,5,10,-5,-5
3129,5,7,5,7,5,7,5,6,5,6
3130,5,3,5,3,-5,-5,-5,-5,-5,-5
3131,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3132,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3133,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3134,5,5,5,5,-1,-1,5,5,5,5
3135,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3136,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3137,5,7,5,7,5,7,5,7,5,7
3138,6,1,6,1,6,1,6,1,6,1
3139,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3140,6,0,6,0,-5,-5,-5,-5,5,11
3141,6,2,6,2,6,2,6,2,6,2
3142,6,2,6,2,6,2,6,0,6,2
3143,5,5,5,4,5,5,5,5,5,5
3144,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3145,5,9,5,9,5,9,5,9,5,9
3146,5,8,5,8,5,8,5,8,5,8
3147,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3148,-5,-5,-5,-5,5,5,5,5,5,5
3149,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3150,5,1,5,1,5,1,5,1,5,1
3151,5,4,5,4,5,5,5,4,5,4
3152,-5,-5,6,0,6,0,6,0,6,0
3153,5,7,5,7,5,7,5,7,5,6
3154,5,6,5,6,5,5,-5,-5,5,5
3155,5,5,-1,-1,5,5,-5,-5,5,5
3156,5,1,5,1,5,1,5,0,5,1
3157,5,3,5,3,5,3,5,3,5,3
3158,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3159,5,11,5,11,5,11,5,10,5,10
